===== XTB STOCK ANALYSIS DATABASE =====
Generated on: 2025-03-02 22:59:25
FORMAT: TICKER | PRICE | SIGMA | RECOMMENDATION
XMME.UK | $576500.00 | 0.37612 | SELL - Low Sigma suggests limited profit potential
SGAS.DE_9 | $11544.00 | 0.22341 | SELL - Low Sigma suggests limited profit potential
FRT.US_9 | $10529.00 | 0.21664 | SELL - Low Sigma suggests limited profit potential
PSQ.US_5 | $3781.00 | 0.47899 | HOLD - Moderate Sigma with mixed signals
DEMANT.DK_4 | $25800.00 | 0.25243 | SELL - Low Sigma suggests limited profit potential
CSL.US_9 | $33870.00 | 0.41995 | HOLD - Moderate Sigma with mixed signals
PCH.US_9 | $4634.00 | 0.54525 | HOLD - Moderate Sigma with mixed signals
VOD.UK_4 | $6985.00 | 0.61425 | BUY - Good Sigma with positive technical indicators
SUSM.UK | $72650.00 | 0.50119 | HOLD - Moderate Sigma with mixed signals
TSLA.DE | $27675.00 | 0.42432 | HOLD - Moderate Sigma with mixed signals
GXI.DE_9 | $8110.00 | 0.68874 | BUY - Good Sigma with positive technical indicators
FIS.US_4 | $7099.00 | 0.28304 | SELL - Low Sigma suggests limited profit potential
PRFD.UK | $156450.00 | 0.48935 | HOLD - Moderate Sigma with mixed signals
GAW.UK_9 | $14310.00 | 0.46231 | HOLD - Moderate Sigma with mixed signals
TPST.US | $8003.00 | 0.32868 | SELL - Low Sigma suggests limited profit potential
CRSR.US_4 | $1167.00 | 0.60343 | BUY - Good Sigma with positive technical indicators
OUT.US | $1860.00 | 0.48898 | HOLD - Moderate Sigma with mixed signals
ALV.DE_9 | $32950.00 | 0.59556 | HOLD - Moderate Sigma with mixed signals
TT.US_4 | $35336.00 | 0.30157 | SELL - Low Sigma suggests limited profit potential
RIZJ.DE | $43670.00 | 0.20026 | SELL - Low Sigma suggests limited profit potential
CH50cash | $131910.00 | 0.40052 | HOLD - Moderate Sigma with mixed signals
TECK.US_4 | $4026.00 | 0.39080 | SELL - Low Sigma suggests limited profit potential
IBZL.NL | $19330.00 | 0.36929 | SELL - Low Sigma suggests limited profit potential
CDE.US_9 | $514.00 | 0.41973 | HOLD - Moderate Sigma with mixed signals
COOP.US_9 | $11234.00 | 0.61392 | BUY - Good Sigma with positive technical indicators
RCUS.US_9 | $1081.00 | 0.40530 | HOLD - Moderate Sigma with mixed signals
ACE.IT | $17620.00 | 0.24340 | SELL - Low Sigma suggests limited profit potential
TIP.IT_9 | $8200.00 | 0.22922 | SELL - Low Sigma suggests limited profit potential
PR1E.DE | $31260.00 | 0.55572 | HOLD - Moderate Sigma with mixed signals
REG.US_9 | $7671.00 | 0.46108 | HOLD - Moderate Sigma with mixed signals
28IY.DE | $51760.00 | 0.42725 | HOLD - Moderate Sigma with mixed signals
FIE.DE_9 | $4100.00 | 0.23663 | SELL - Low Sigma suggests limited profit potential
FXA.US | $6138.00 | 0.53348 | HOLD - Moderate Sigma with mixed signals
HMB.SE_4 | $14383.00 | 0.25779 | SELL - Low Sigma suggests limited profit potential
SPXC.US_9 | $14477.00 | 0.53713 | HOLD - Moderate Sigma with mixed signals
EUN0.DE | $66190.00 | 0.43989 | HOLD - Moderate Sigma with mixed signals
JREZ.DE | $36225.00 | 0.47440 | HOLD - Moderate Sigma with mixed signals
DPW.DE_9 | $37680.00 | 0.64192 | BUY - Good Sigma with positive technical indicators
CBUV.DE | $91160.00 | 0.18809 | STRONG SELL - Very low Sigma indicates poor trading conditions
AVT.US_9 | $5029.00 | 0.30120 | SELL - Low Sigma suggests limited profit potential
DRW3.DE_4 | $5390.00 | 0.44160 | HOLD - Moderate Sigma with mixed signals
STRO.US | $156.00 | 0.41117 | HOLD - Moderate Sigma with mixed signals
EPR.US | $5308.00 | 0.69355 | BUY - Good Sigma with positive technical indicators
INGR.US_4 | $13031.00 | 0.35467 | SELL - Low Sigma suggests limited profit potential
FISV.US_4 | $23526.00 | 0.49189 | HOLD - Moderate Sigma with mixed signals
CMPS.US_9 | $392.00 | 0.40887 | HOLD - Moderate Sigma with mixed signals
BOOT.US_9 | $12160.00 | 0.28720 | SELL - Low Sigma suggests limited profit potential
NICE.US_9 | $13898.00 | 0.33279 | SELL - Low Sigma suggests limited profit potential
IUSQ.DE | $86830.00 | 0.22383 | SELL - Low Sigma suggests limited profit potential
FGP.UK_9 | $16030.00 | 0.30294 | SELL - Low Sigma suggests limited profit potential
OPRA.US | $1852.00 | 0.48917 | HOLD - Moderate Sigma with mixed signals
GIB.US_4 | $10346.00 | 0.29532 | SELL - Low Sigma suggests limited profit potential
F.US_4 | $951.00 | 0.52529 | HOLD - Moderate Sigma with mixed signals
JEF.US_9 | $6592.00 | 0.20409 | SELL - Low Sigma suggests limited profit potential
JXN.US_4 | $9088.00 | 0.42673 | HOLD - Moderate Sigma with mixed signals
QDVE.DE | $30630.00 | 0.25153 | SELL - Low Sigma suggests limited profit potential
SMCP.FR | $3580.00 | 0.59950 | HOLD - Moderate Sigma with mixed signals
AMBUB.DK | $13090.00 | 0.44843 | HOLD - Moderate Sigma with mixed signals
ETHEREUM | $2534700.00 | 0.39296 | SELL - Low Sigma suggests limited profit potential
PBRA.US_4 | $1219.00 | 0.54318 | HOLD - Moderate Sigma with mixed signals
IT.US_9 | $49784.00 | 0.27322 | SELL - Low Sigma suggests limited profit potential
FRSH.US | $1704.00 | 0.34263 | SELL - Low Sigma suggests limited profit potential
SGLD.UK | $2743700.00 | 0.42016 | HOLD - Moderate Sigma with mixed signals
PENG.US_4 | $1976.00 | 0.51079 | HOLD - Moderate Sigma with mixed signals
VWRA.UK | $14108.00 | 0.49127 | HOLD - Moderate Sigma with mixed signals
MARA.US_9 | $1391.00 | 0.45126 | HOLD - Moderate Sigma with mixed signals
WDAY.US_4 | $26285.00 | 0.54113 | HOLD - Moderate Sigma with mixed signals
UPBD.US_9 | $2568.00 | 0.28760 | SELL - Low Sigma suggests limited profit potential
ICHN.NL | $53297.00 | 0.50792 | HOLD - Moderate Sigma with mixed signals
DBB.US | $1897.00 | 0.34968 | SELL - Low Sigma suggests limited profit potential
ACGL.US_9 | $9247.00 | 0.27898 | SELL - Low Sigma suggests limited profit potential
AMKR.US_4 | $2106.00 | 0.26947 | SELL - Low Sigma suggests limited profit potential
DWL.UK | $6825.00 | 0.53615 | HOLD - Moderate Sigma with mixed signals
CEMR.DE | $12768.00 | 0.57586 | HOLD - Moderate Sigma with mixed signals
EDM4.DE | $84540.00 | 0.51170 | HOLD - Moderate Sigma with mixed signals
BLUE.US_9 | $397.00 | 0.40755 | HOLD - Moderate Sigma with mixed signals
MLI.US_9 | $7983.00 | 0.46082 | HOLD - Moderate Sigma with mixed signals
HSI.FR | $24395.00 | 0.53625 | HOLD - Moderate Sigma with mixed signals
UU.UK_4 | $9773.00 | 0.25193 | SELL - Low Sigma suggests limited profit potential
VRM.US_4 | $2514.00 | 0.74207 | BUY - Good Sigma with positive technical indicators
BHVN.US | $3709.00 | 0.45677 | HOLD - Moderate Sigma with mixed signals
XPEV.US_9 | $2148.00 | 0.85430 | STRONG BUY - High Sigma indicates significant trading opportunity with multiple confirming signals
BEAM.US_4 | $2606.00 | 0.64144 | BUY - Good Sigma with positive technical indicators
TOM2.NL_9 | $4578.00 | 0.60184 | BUY - Good Sigma with positive technical indicators
BMY.US_9 | $5969.00 | 0.51822 | HOLD - Moderate Sigma with mixed signals
GLDV.UK_9 | $332500.00 | 0.44932 | HOLD - Moderate Sigma with mixed signals
PNN.UK_4 | $4191.00 | 0.30083 | SELL - Low Sigma suggests limited profit potential
EURAUD | $167453.00 | 0.42616 | HOLD - Moderate Sigma with mixed signals
ESPO.US | $9022.00 | 0.57682 | HOLD - Moderate Sigma with mixed signals
NTRS.US_4 | $10971.00 | 0.56993 | HOLD - Moderate Sigma with mixed signals
BCP.PT_4 | $5355.00 | 0.50475 | HOLD - Moderate Sigma with mixed signals
DRUG.US | $3477.00 | 0.33542 | SELL - Low Sigma suggests limited profit potential
FAST.US_9 | $7575.00 | 0.53635 | HOLD - Moderate Sigma with mixed signals
EMEIS.FR_9 | $109900.00 | 0.82025 | STRONG BUY - High Sigma indicates significant trading opportunity with multiple confirming signals
PRLB.US_4 | $3976.00 | 0.39335 | SELL - Low Sigma suggests limited profit potential
ESAP.DE | $235250.00 | 0.22911 | SELL - Low Sigma suggests limited profit potential
APPS.ES_4 | $1244.00 | 0.24452 | SELL - Low Sigma suggests limited profit potential
XUCD.DE | $82230.00 | 0.24548 | SELL - Low Sigma suggests limited profit potential
RDSB.UK_4 | $26335.00 | 0.45878 | HOLD - Moderate Sigma with mixed signals
STHO.US | $923.00 | 0.72781 | BUY - Good Sigma with positive technical indicators
IQQX.DE | $21535.00 | 0.30871 | SELL - Low Sigma suggests limited profit potential
LNC.US_9 | $3900.00 | 0.67525 | BUY - Good Sigma with positive technical indicators
AUS200 | $8208.00 | 0.43994 | HOLD - Moderate Sigma with mixed signals
WDEY.DE | $40220.00 | 0.47773 | HOLD - Moderate Sigma with mixed signals
ALT.US | $666.00 | 0.42230 | HOLD - Moderate Sigma with mixed signals
VUZI.US | $294.00 | 0.34408 | SELL - Low Sigma suggests limited profit potential
ESTC.US_9 | $11637.00 | 0.63318 | BUY - Good Sigma with positive technical indicators
GD.US_4 | $25166.00 | 0.23882 | SELL - Low Sigma suggests limited profit potential
IS3R.DE | $79830.00 | 0.53453 | HOLD - Moderate Sigma with mixed signals
ACA.FR_9 | $15935.00 | 0.52334 | HOLD - Moderate Sigma with mixed signals
VTY.UK_4 | $6115.00 | 0.62644 | BUY - Good Sigma with positive technical indicators
ICOM.UK | $72225.00 | 0.39017 | SELL - Low Sigma suggests limited profit potential
DXSK.DE | $14400.00 | 0.63556 | BUY - Good Sigma with positive technical indicators
XCSI.DE | $31610.00 | 0.45626 | HOLD - Moderate Sigma with mixed signals
VIV.FR_4 | $28900.00 | 0.30419 | SELL - Low Sigma suggests limited profit potential
GPOR.UK_9 | $2735.00 | 0.42365 | HOLD - Moderate Sigma with mixed signals
RBAG.CZ_4 | $161550.00 | 0.53556 | HOLD - Moderate Sigma with mixed signals
DOX.US_9 | $8696.00 | 0.49240 | HOLD - Moderate Sigma with mixed signals
HA.US_4 | $1795.00 | 0.63493 | BUY - Good Sigma with positive technical indicators
UEQU.DE | $20595.00 | 0.40499 | HOLD - Moderate Sigma with mixed signals
FRPT.US_9 | $10655.00 | 0.44410 | HOLD - Moderate Sigma with mixed signals
FBP.US_9 | $1948.00 | 0.26655 | SELL - Low Sigma suggests limited profit potential
OTLY.US_4 | $1047.00 | 0.76143 | BUY - Good Sigma with positive technical indicators
UNF.US_4 | $21308.00 | 0.32077 | SELL - Low Sigma suggests limited profit potential
IGG.UK_9 | $9495.00 | 0.26359 | SELL - Low Sigma suggests limited profit potential
ARQT.US_9 | $1367.00 | 0.60533 | BUY - Good Sigma with positive technical indicators
VICR.US_9 | $6320.00 | 0.79699 | BUY - Good Sigma with positive technical indicators
IUCD.UK | $147000.00 | 0.17236 | STRONG SELL - Very low Sigma indicates poor trading conditions
ATCOB.SE_4 | $16010.00 | 0.24524 | SELL - Low Sigma suggests limited profit potential
ROBO.IT_5 | $2170.00 | 0.34389 | SELL - Low Sigma suggests limited profit potential
PSTG.US | $5212.00 | 0.35327 | SELL - Low Sigma suggests limited profit potential
BEKB.BE_9 | $3436.00 | 0.51376 | HOLD - Moderate Sigma with mixed signals
CBAT.US | $8126.00 | 0.31865 | SELL - Low Sigma suggests limited profit potential
PZC.UK_9 | $8090.00 | 0.42768 | HOLD - Moderate Sigma with mixed signals
T10G.UK | $91050.00 | 0.43594 | HOLD - Moderate Sigma with mixed signals
DARK.UK_4 | $5761.00 | 0.34675 | SELL - Low Sigma suggests limited profit potential
VANTI.FR_4 | $1657.00 | 0.83668 | STRONG BUY - High Sigma indicates significant trading opportunity with multiple confirming signals
PRO.US_9 | $2411.00 | 0.52761 | HOLD - Moderate Sigma with mixed signals
SCYR.ES_4 | $3352.00 | 0.66525 | BUY - Good Sigma with positive technical indicators
BEI.DE_4 | $13260.00 | 0.56283 | HOLD - Moderate Sigma with mixed signals
HYMC.US | $229.00 | 0.55714 | HOLD - Moderate Sigma with mixed signals
FSLR.US_9 | $13543.00 | 0.32443 | SELL - Low Sigma suggests limited profit potential
EFRN.DE | $50712.00 | 0.56138 | HOLD - Moderate Sigma with mixed signals
CARG.US_9 | $3216.00 | 0.47040 | HOLD - Moderate Sigma with mixed signals
BIO.US_9 | $26408.00 | 0.28304 | SELL - Low Sigma suggests limited profit potential
POOL.US | $34566.00 | 0.46237 | HOLD - Moderate Sigma with mixed signals
SWKS.US_9 | $6660.00 | 0.57613 | HOLD - Moderate Sigma with mixed signals
UNI.ES_4 | $16660.00 | 0.55525 | HOLD - Moderate Sigma with mixed signals
IFX.DE_4 | $35267.00 | 0.46625 | HOLD - Moderate Sigma with mixed signals
SABR.US | $412.00 | 0.60868 | BUY - Good Sigma with positive technical indicators
ATRY.ES | $3450.00 | 0.37647 | SELL - Low Sigma suggests limited profit potential
WTIZ.DE | $28370.00 | 0.49349 | HOLD - Moderate Sigma with mixed signals
ACN.US_9 | $34829.00 | 0.39682 | SELL - Low Sigma suggests limited profit potential
FFIE.US | $13600.00 | 0.30713 | SELL - Low Sigma suggests limited profit potential
SU.FR_9 | $23250.00 | 0.44220 | HOLD - Moderate Sigma with mixed signals
DIB.IT_4 | $1417.00 | 0.55435 | HOLD - Moderate Sigma with mixed signals
DISCK.US_4 | $1045.00 | 0.65565 | BUY - Good Sigma with positive technical indicators
XWEQ.DE | $41005.00 | 0.17632 | STRONG SELL - Very low Sigma indicates poor trading conditions
DOCU.US_9 | $8303.00 | 0.21608 | SELL - Low Sigma suggests limited profit potential
USNA.US_4 | $2940.00 | 0.38863 | SELL - Low Sigma suggests limited profit potential
BJRI.US_9 | $3799.00 | 0.61622 | BUY - Good Sigma with positive technical indicators
HTGC.US | $2084.00 | 0.42977 | HOLD - Moderate Sigma with mixed signals
LNTH.US_4 | $9359.00 | 0.59422 | HOLD - Moderate Sigma with mixed signals
BRFS.US_9 | $306.00 | 0.36969 | SELL - Low Sigma suggests limited profit potential
INDV.UK_9 | $6990.00 | 0.35873 | SELL - Low Sigma suggests limited profit potential
CE8G.DE | $64190.00 | 0.17975 | STRONG SELL - Very low Sigma indicates poor trading conditions
ZPRG.DE_9 | $31980.00 | 0.60263 | BUY - Good Sigma with positive technical indicators
FUSA.DE | $12318.00 | 0.19396 | STRONG SELL - Very low Sigma indicates poor trading conditions
CVCO.US_9 | $52107.00 | 0.51063 | HOLD - Moderate Sigma with mixed signals
XESC.DE | $92690.00 | 0.51824 | HOLD - Moderate Sigma with mixed signals
IDS.UK_9 | $3650.00 | 0.49460 | HOLD - Moderate Sigma with mixed signals
RPD.US | $2902.00 | 0.22655 | SELL - Low Sigma suggests limited profit potential
GPN.US_4 | $10486.00 | 0.25272 | SELL - Low Sigma suggests limited profit potential
DEZ.DE | $5200.00 | 0.68472 | BUY - Good Sigma with positive technical indicators
ESNT.UK_9 | $1176.00 | 0.40067 | HOLD - Moderate Sigma with mixed signals
STAA.US_4 | $1740.00 | 0.43306 | HOLD - Moderate Sigma with mixed signals
APLS.US_9 | $2495.00 | 0.27072 | SELL - Low Sigma suggests limited profit potential
CRH.UK_9 | $8132.00 | 0.52107 | HOLD - Moderate Sigma with mixed signals
MKS.UK_9 | $35400.00 | 0.48587 | HOLD - Moderate Sigma with mixed signals
NRG.US_9 | $10557.00 | 0.70642 | BUY - Good Sigma with positive technical indicators
TJX.US_4 | $12448.00 | 0.45619 | HOLD - Moderate Sigma with mixed signals
ADYEN.NL | $174520.00 | 0.74989 | BUY - Good Sigma with positive technical indicators
YORW.US | $3202.00 | 0.43094 | HOLD - Moderate Sigma with mixed signals
SLP.US_9 | $2892.00 | 0.32624 | SELL - Low Sigma suggests limited profit potential
GBF.DE_4 | $5570.00 | 0.66165 | BUY - Good Sigma with positive technical indicators
ZPDH.DE | $42995.00 | 0.55629 | HOLD - Moderate Sigma with mixed signals
SYNA.US_9 | $6580.00 | 0.40529 | HOLD - Moderate Sigma with mixed signals
SPPX.DE | $209790.00 | 0.53827 | HOLD - Moderate Sigma with mixed signals
ZTO.US_9 | $1937.00 | 0.56650 | HOLD - Moderate Sigma with mixed signals
DB1.DE_9 | $25100.00 | 0.45507 | HOLD - Moderate Sigma with mixed signals
LMT.US_9 | $45005.00 | 0.28525 | SELL - Low Sigma suggests limited profit potential
KOJAMO.FI | $9245.00 | 0.27683 | SELL - Low Sigma suggests limited profit potential
THS.US_4 | $3131.00 | 0.22728 | SELL - Low Sigma suggests limited profit potential
AMBA.US_4 | $6138.00 | 0.45538 | HOLD - Moderate Sigma with mixed signals
DEQ.DE_4 | $1809.00 | 0.19202 | STRONG SELL - Very low Sigma indicates poor trading conditions
BAMI.IT_9 | $9590.00 | 0.72700 | BUY - Good Sigma with positive technical indicators
PAAS.US_9 | $2382.00 | 0.67763 | BUY - Good Sigma with positive technical indicators
VEEV.US_4 | $22374.00 | 0.31236 | SELL - Low Sigma suggests limited profit potential
SHBA.SE_9 | $13495.00 | 0.49155 | HOLD - Moderate Sigma with mixed signals
EOAN.DE_9 | $12285.00 | 0.53715 | HOLD - Moderate Sigma with mixed signals
GHC.US_9 | $97436.00 | 0.63917 | BUY - Good Sigma with positive technical indicators
CAH.US_4 | $12895.00 | 0.51810 | HOLD - Moderate Sigma with mixed signals
REGN.US_9 | $69835.00 | 0.64139 | BUY - Good Sigma with positive technical indicators
SXS.UK_4 | $2863.00 | 0.58940 | HOLD - Moderate Sigma with mixed signals
AMN.US | $2513.00 | 0.36317 | SELL - Low Sigma suggests limited profit potential
EUNL.DE | $105305.00 | 0.21548 | SELL - Low Sigma suggests limited profit potential
EXO.IT_9 | $9385.00 | 0.43145 | HOLD - Moderate Sigma with mixed signals
ABNB.US_9 | $13877.00 | 0.70848 | BUY - Good Sigma with positive technical indicators
FTNT.US_9 | $10801.00 | 0.57208 | HOLD - Moderate Sigma with mixed signals
BILI.US_4 | $2028.00 | 0.69294 | BUY - Good Sigma with positive technical indicators
AME6.DE | $13694.00 | 0.42857 | HOLD - Moderate Sigma with mixed signals
AMC.US_9 | $330.00 | 0.34922 | SELL - Low Sigma suggests limited profit potential
SBMO.NL_9 | $20100.00 | 0.55605 | HOLD - Moderate Sigma with mixed signals
IDWP.UK | $23730.00 | 0.45144 | HOLD - Moderate Sigma with mixed signals
MMC.US_9 | $23694.00 | 0.47888 | HOLD - Moderate Sigma with mixed signals
ENG.ES_4 | $12500.00 | 0.64999 | BUY - Good Sigma with positive technical indicators
RIO.UK_4 | $47873.00 | 0.25007 | SELL - Low Sigma suggests limited profit potential
RXP5EX.DE | $1192600.00 | 0.24894 | SELL - Low Sigma suggests limited profit potential
AMWL.US_4 | $976.00 | 0.59258 | HOLD - Moderate Sigma with mixed signals
UBXN.CH_4 | $7410.00 | 0.57655 | HOLD - Moderate Sigma with mixed signals
SMDS.UK_9 | $5870.00 | 0.63542 | BUY - Good Sigma with positive technical indicators
TRMDA.DK_9 | $12760.00 | 0.39389 | SELL - Low Sigma suggests limited profit potential
PFC.UK_9 | $656.00 | 0.25073 | SELL - Low Sigma suggests limited profit potential
MEDP.US_4 | $32567.00 | 0.24096 | SELL - Low Sigma suggests limited profit potential
S7XE.DE | $13366.00 | 0.68331 | BUY - Good Sigma with positive technical indicators
EMBE.UK | $673720.00 | 0.44617 | HOLD - Moderate Sigma with mixed signals
BLDR.US | $13873.00 | 0.28530 | SELL - Low Sigma suggests limited profit potential
NEE.US_9 | $7013.00 | 0.29722 | SELL - Low Sigma suggests limited profit potential
UBSG.CH_4 | $30800.00 | 0.62701 | BUY - Good Sigma with positive technical indicators
JPGL.DE | $38790.00 | 0.36710 | SELL - Low Sigma suggests limited profit potential
UNFI.US_9 | $3174.00 | 0.55315 | HOLD - Moderate Sigma with mixed signals
SYDB.DK_9 | $44460.00 | 0.55317 | HOLD - Moderate Sigma with mixed signals
LQQ.FR | $119520.00 | 0.31482 | SELL - Low Sigma suggests limited profit potential
CSTL.US_4 | $2148.00 | 0.32862 | SELL - Low Sigma suggests limited profit potential
EUNW.DE | $952460.00 | 0.58803 | HOLD - Moderate Sigma with mixed signals
MMT.FR_4 | $1284.00 | 0.53180 | HOLD - Moderate Sigma with mixed signals
V80D.DE | $34125.00 | 0.37994 | SELL - Low Sigma suggests limited profit potential
ZG.US | $7431.00 | 0.30653 | SELL - Low Sigma suggests limited profit potential
OKLO.US | $3339.00 | 0.49348 | HOLD - Moderate Sigma with mixed signals
ZD.US_9 | $4078.00 | 0.19489 | STRONG SELL - Very low Sigma indicates poor trading conditions
TIP.US_5 | $11021.00 | 0.48666 | HOLD - Moderate Sigma with mixed signals
EHDL.DE | $22030.00 | 0.40448 | HOLD - Moderate Sigma with mixed signals
XMOV.DE | $93370.00 | 0.51649 | HOLD - Moderate Sigma with mixed signals
ZIL2.DE_4 | $4208.00 | 0.42492 | HOLD - Moderate Sigma with mixed signals
SJM.US_4 | $11034.00 | 0.57680 | HOLD - Moderate Sigma with mixed signals
XEC1.DE | $81290.00 | 0.32089 | SELL - Low Sigma suggests limited profit potential
2B7K.DE | $11852.00 | 0.18911 | STRONG SELL - Very low Sigma indicates poor trading conditions
STNE.US_9 | $924.00 | 0.58681 | HOLD - Moderate Sigma with mixed signals
INRG.UK | $50750.00 | 0.34362 | SELL - Low Sigma suggests limited profit potential
EWG.US_5 | $3604.00 | 0.59284 | HOLD - Moderate Sigma with mixed signals
PGR.US_9 | $28130.00 | 0.56930 | HOLD - Moderate Sigma with mixed signals
A4H8.DE | $529720.00 | 0.50589 | HOLD - Moderate Sigma with mixed signals
ASTS.US | $270900.00 | 0.69746 | BUY - Good Sigma with positive technical indicators
MDB.US_4 | $26572.00 | 0.29329 | SELL - Low Sigma suggests limited profit potential
SNBR.US | $1398.00 | 0.52275 | HOLD - Moderate Sigma with mixed signals
IREN.US | $822.00 | 0.33458 | SELL - Low Sigma suggests limited profit potential
SAB.ES_4 | $26400.00 | 0.56590 | HOLD - Moderate Sigma with mixed signals
MNDI.UK_9 | $12310.00 | 0.47094 | HOLD - Moderate Sigma with mixed signals
GAP.US_9 | $2258.00 | 0.34970 | SELL - Low Sigma suggests limited profit potential
SLB.US_9 | $4162.00 | 0.51544 | HOLD - Moderate Sigma with mixed signals
HK.cash | $23104.00 | 0.48311 | HOLD - Moderate Sigma with mixed signals
LQDA.UK | $59810.00 | 0.49695 | HOLD - Moderate Sigma with mixed signals
HBAN.US_9 | $1647.00 | 0.40593 | HOLD - Moderate Sigma with mixed signals
CAF.ES_9 | $3820.00 | 0.51244 | HOLD - Moderate Sigma with mixed signals
EWU.US_5 | $3701.00 | 0.66825 | BUY - Good Sigma with positive technical indicators
NDA.SE_9 | $14135.00 | 0.64361 | BUY - Good Sigma with positive technical indicators
SPP1.DE | $20630.00 | 0.53026 | HOLD - Moderate Sigma with mixed signals
BITF.US | $11600.00 | 0.46858 | HOLD - Moderate Sigma with mixed signals
EMR.US_4 | $12104.00 | 0.38330 | SELL - Low Sigma suggests limited profit potential
LI7U.DE | $70400.00 | 0.58053 | HOLD - Moderate Sigma with mixed signals
TEL.NO_9 | $14550.00 | 0.50077 | HOLD - Moderate Sigma with mixed signals
IESE.NL_9 | $71080.00 | 0.50409 | HOLD - Moderate Sigma with mixed signals
UBU3.DE | $1372450.00 | 0.36924 | SELL - Low Sigma suggests limited profit potential
LEG.DE_4 | $8041.00 | 0.52147 | HOLD - Moderate Sigma with mixed signals
IQQD.DE_5 | $95070.00 | 0.62503 | BUY - Good Sigma with positive technical indicators
AZN.UK_4 | $11972.00 | 0.58374 | HOLD - Moderate Sigma with mixed signals
NWN.US | $4085.00 | 0.48789 | HOLD - Moderate Sigma with mixed signals
CE.US_9 | $5066.00 | 0.26670 | SELL - Low Sigma suggests limited profit potential
ESD.FR | $23465.00 | 0.21401 | SELL - Low Sigma suggests limited profit potential
DOCS.US_4 | $7029.00 | 0.52254 | HOLD - Moderate Sigma with mixed signals
IRM.US_4 | $9255.00 | 0.39827 | SELL - Low Sigma suggests limited profit potential
IUSC.DE_9 | $13160.00 | 0.41127 | HOLD - Moderate Sigma with mixed signals
AMED.DE_9 | $31740.00 | 0.59342 | HOLD - Moderate Sigma with mixed signals
MSFT.US_9 | $39696.00 | 0.23475 | SELL - Low Sigma suggests limited profit potential
